customer_id,company_name,industry,country,segment,signup_date
CUST00001,"Rodriguez, Figueroa and Sanchez",Healthcare,Burundi,Mid-Market,2024-10-16
CUST00002,"Garcia, Yang and Gardner",Manufacturing,Nauru,Mid-Market,2023-08-12
CUST00003,Johnson-Davis,Healthcare,Djibouti,SMB,2025-04-05
CUST00004,"Guzman, Hoffman and Baldwin",Finance,Reunion,SMB,2023-04-05
CUST00005,"Barnes, Cole and Ramirez",Finance,Trinidad and Tobago,SMB,2025-06-06
CUST00006,Blake and Sons,Manufacturing,Qatar,SMB,2023-06-16
CUST00007,Peterson-Moore,Technology,Serbia,SMB,2023-11-20
CUST00008,Garcia-James,Education,Guinea-Bissau,Mid-Market,2024-10-04
CUST00009,Munoz-Roman,Manufacturing,Saint Lucia,Enterprise,2025-01-08
CUST00010,Herrera-Dudley,Healthcare,Honduras,SMB,2025-01-09
CUST00011,Arnold Ltd,Technology,Niger,Mid-Market,2023-07-23
CUST00012,Ray-Bush,Manufacturing,Aruba,SMB,2025-02-12
CUST00013,"Perez, Roberts and Miller",Technology,Djibouti,SMB,2023-08-19
CUST00014,James Group,Manufacturing,North Macedonia,Mid-Market,2024-11-20
CUST00015,Martin-Kelly,Technology,Paraguay,SMB,2023-09-13
CUST00016,Miles-Sutton,Education,Barbados,SMB,2025-05-19
CUST00017,"Reid, Ferguson and Sanchez",Education,Kyrgyz Republic,Enterprise,2023-06-18
CUST00018,Nelson-Schaefer,Education,Portugal,Mid-Market,2024-08-06
CUST00019,"Robinson, Nguyen and Tate",Retail,Azerbaijan,Enterprise,2023-01-10
CUST00020,Underwood LLC,Retail,Iran,SMB,2023-02-22
CUST00021,Jones-Gentry,Finance,Montenegro,SMB,2024-01-14
CUST00022,"Edwards, Rios and Foster",Technology,United States Virgin Islands,SMB,2024-01-02
CUST00023,"Ellis, Baker and Wright",Manufacturing,Monaco,Mid-Market,2025-01-24
CUST00024,"Baker, Richards and Hurst",Education,Iran,SMB,2025-06-12
CUST00025,Robinson-Bright,Retail,Malawi,Mid-Market,2023-12-25
CUST00026,Davis-Williams,Finance,Bouvet Island (Bouvetoya),Mid-Market,2023-09-29
CUST00027,Burton Ltd,Healthcare,Jamaica,SMB,2024-11-13
CUST00028,"Brown, James and Ferrell",Technology,Marshall Islands,SMB,2025-05-03
CUST00029,Maddox-Valencia,Education,Algeria,SMB,2023-11-26
CUST00030,"Le, Maldonado and Herrera",Manufacturing,Ethiopia,Mid-Market,2024-05-01
CUST00031,"Peterson, Carter and Moore",Education,Afghanistan,Mid-Market,2024-07-24
CUST00032,"Liu, Baker and Mason",Manufacturing,Christmas Island,SMB,2025-01-31
CUST00033,"Gaines, Harrell and Evans",Technology,Northern Mariana Islands,SMB,2024-12-31
CUST00034,"Lynch, Hernandez and Farmer",Technology,Mauritius,Mid-Market,2024-03-01
CUST00035,"Sellers, George and Burns",Finance,Bouvet Island (Bouvetoya),SMB,2025-06-20
CUST00036,Koch-Decker,Education,Gambia,Enterprise,2023-11-02
CUST00037,Brown PLC,Healthcare,Yemen,SMB,2025-06-06
CUST00038,Miller Group,Education,Suriname,Mid-Market,2024-04-10
CUST00039,Spence PLC,Retail,Seychelles,Enterprise,2024-07-06
CUST00040,Anderson Group,Manufacturing,Yemen,SMB,2024-12-17
CUST00041,"Martin, Rose and Obrien",Manufacturing,Croatia,Enterprise,2024-08-12
CUST00042,"Campos, Vaughn and Marquez",Technology,Iran,SMB,2023-02-12
CUST00043,"Santos, Kim and Holmes",Education,British Indian Ocean Territory (Chagos Archipelago),SMB,2023-04-19
CUST00044,Walker LLC,Finance,Angola,SMB,2025-05-21
CUST00045,"Spencer, Chapman and Smith",Technology,Russian Federation,Enterprise,2025-06-20
CUST00046,"Brown, Jones and Johnson",Healthcare,Greenland,Mid-Market,2023-07-15
CUST00047,Palmer LLC,Technology,Paraguay,SMB,2023-08-10
CUST00048,Lewis-Anderson,Education,Vietnam,Mid-Market,2023-02-25
CUST00049,"Johnston, Sanchez and Kennedy",Retail,Ireland,SMB,2023-10-19
CUST00050,Davis Ltd,Retail,Jersey,SMB,2023-11-09
CUST00051,Henderson-Owens,Finance,Saint Lucia,SMB,2024-04-06
CUST00052,Nunez Ltd,Retail,Bolivia,Mid-Market,2024-09-01
CUST00053,Powell LLC,Technology,South Georgia and the South Sandwich Islands,Enterprise,2023-01-27
CUST00054,Wright and Sons,Technology,Mauritania,Enterprise,2025-06-04
CUST00055,Taylor-White,Education,Kyrgyz Republic,SMB,2024-04-18
CUST00056,Baxter Inc,Retail,Kenya,Mid-Market,2023-04-06
CUST00057,"Garcia, Pearson and Fernandez",Education,American Samoa,Mid-Market,2025-01-13
