event_id,customer_id,event_date,event_type,plan,mrr_amount
1,CUST00001,2024-10-16,signup,Pro,99
2,CUST00001,2025-04-14,cancel,Pro,0
3,CUST00002,2023-08-12,signup,Pro,99
4,CUST00002,2024-02-08,cancel,Pro,0
5,CUST00003,2025-04-05,signup,Basic,29
6,CUST00004,2023-04-05,signup,Basic,29
7,CUST00004,2024-03-30,cancel,Basic,0
8,CUST00005,2025-06-06,signup,Basic,29
9,CUST00006,2023-06-16,signup,Basic,29
10,CUST00006,2024-08-09,cancel,Basic,0
11,CUST00007,2023-11-20,signup,Pro,99
12,CUST00007,2025-05-13,upgrade,Enterprise,499
13,CUST00008,2024-10-04,signup,Pro,99
14,CUST00008,2025-04-02,cancel,Pro,0
15,CUST00009,2025-01-08,signup,Enterprise,499
16,CUST00009,2025-05-08,cancel,Enterprise,0
17,CUST00010,2025-01-09,signup,Basic,29
18,CUST00011,2023-07-23,signup,Pro,99
19,CUST00012,2025-02-12,signup,Basic,29
20,CUST00013,2023-08-19,signup,Basic,29
21,CUST00013,2023-10-18,upgrade,Pro,99
22,CUST00014,2024-11-20,signup,Basic,29
23,CUST00015,2023-09-13,signup,Pro,99
24,CUST00015,2024-01-11,cancel,Pro,0
25,CUST00016,2025-05-19,signup,Basic,29
26,CUST00017,2023-06-18,signup,Enterprise,499
27,CUST00018,2024-08-06,signup,Pro,99
28,CUST00019,2023-01-10,signup,Enterprise,499
29,CUST00020,2023-02-22,signup,Basic,29
30,CUST00020,2024-02-17,cancel,Basic,0
31,CUST00021,2024-01-14,signup,Basic,29
32,CUST00021,2024-05-13,cancel,Basic,0
33,CUST00022,2024-01-02,signup,Basic,29
34,CUST00022,2024-10-28,cancel,Basic,0
35,CUST00023,2025-01-24,signup,Pro,99
36,CUST00024,2025-06-12,signup,Basic,29
37,CUST00025,2023-12-25,signup,Pro,99
38,CUST00025,2024-11-19,cancel,Pro,0
39,CUST00026,2023-09-29,signup,Pro,99
40,CUST00026,2024-03-27,upgrade,Enterprise,499
41,CUST00027,2024-11-13,signup,Basic,29
42,CUST00028,2025-05-03,signup,Basic,29
43,CUST00029,2023-11-26,signup,Basic,29
44,CUST00029,2025-01-19,cancel,Basic,0
45,CUST00030,2024-05-01,signup,Pro,99
46,CUST00031,2024-07-24,signup,Pro,99
47,CUST00032,2025-01-31,signup,Pro,99
48,CUST00033,2024-12-31,signup,Basic,29
49,CUST00034,2024-03-01,signup,Pro,99
50,CUST00034,2024-04-30,cancel,Pro,0
51,CUST00035,2025-06-20,signup,Basic,29
52,CUST00036,2023-11-02,signup,Enterprise,499
53,CUST00037,2025-06-06,signup,Basic,29
54,CUST00038,2024-04-10,signup,Pro,99
55,CUST00038,2024-07-09,cancel,Pro,0
56,CUST00039,2024-07-06,signup,Enterprise,499
57,CUST00040,2024-12-17,signup,Basic,29
58,CUST00041,2024-08-12,signup,Enterprise,499
59,CUST00042,2023-02-12,signup,Basic,29
60,CUST00042,2023-04-13,cancel,Basic,0
61,CUST00043,2023-04-19,signup,Pro,99
62,CUST00043,2024-12-09,cancel,Pro,0
63,CUST00044,2025-05-21,signup,Basic,29
64,CUST00045,2025-06-20,signup,Enterprise,499
65,CUST00046,2023-07-15,signup,Pro,99
66,CUST00047,2023-08-10,signup,Basic,29
67,CUST00047,2024-05-06,cancel,Basic,0
68,CUST00048,2023-02-25,signup,Basic,29
69,CUST00048,2023-04-26,cancel,Basic,0
70,CUST00049,2023-10-19,signup,Basic,29
71,CUST00049,2024-02-16,upgrade,Pro,99
72,CUST00049,2024-09-13,upgrade,Enterprise,499
73,CUST00050,2023-11-09,signup,Pro,99
74,CUST00050,2024-07-06,cancel,Pro,0
75,CUST00051,2024-04-06,signup,Basic,29
76,CUST00051,2025-06-30,upgrade,Pro,99
77,CUST00052,2024-09-01,signup,Pro,99
78,CUST00053,2023-01-27,signup,Enterprise,499
79,CUST00053,2025-02-15,downgrade,Pro,99
80,CUST00054,2025-06-04,signup,Enterprise,499
81,CUST00055,2024-04-18,signup,Basic,29
82,CUST00056,2023-04-06,signup,Basic,29
83,CUST00056,2024-06-29,upgrade,Pro,99
84,CUST00056,2024-12-26,cancel,Pro,0
85,CUST00057,2025-01-13,signup,Enterprise,499
86,CUST00058,2024-01-22,signup,Basic,29
87,CUST00059,2025-05-15,signup,Basic,29
88,CUST00060,2025-06-10,signup,Basic,29
89,CUST00061,2024-02-12,signup,Enterprise,499
90,CUST00061,2024-08-10,downgrade,Pro,99
91,CUST00061,2024-09-09,cancel,Pro,0
92,CUST00062,2024-10-08,signup,Basic,29
93,CUST00062,2025-06-05,cancel,Basic,0
94,CUST00063,2025-03-26,signup,Basic,29
95,CUST00064,2023-06-24,signup,Pro,99
96,CUST00064,2024-01-20,cancel,Pro,0
97,CUST00065,2025-04-03,signup,Basic,29
98,CUST00066,2024-08-24,signup,Enterprise,499
99,CUST00067,2024-11-05,signup,Pro,99
100,CUST00068,2025-04-01,signup,Pro,99
101,CUST00069,2023-05-21,signup,Enterprise,499
102,CUST00070,2024-01-10,signup,Basic,29
103,CUST00070,2024-10-06,cancel,Basic,0
104,CUST00071,2023-08-15,signup,Pro,99
105,CUST00071,2025-06-05,cancel,Pro,0
106,CUST00072,2024-01-15,signup,Basic,29
107,CUST00072,2024-09-11,upgrade,Pro,99
108,CUST00072,2025-03-10,cancel,Pro,0
109,CUST00073,2025-03-16,signup,Enterprise,499
110,CUST00074,2023-08-27,signup,Pro,99
111,CUST00074,2024-08-21,cancel,Pro,0
112,CUST00075,2023-09-29,signup,Pro,99
113,CUST00075,2023-10-29,downgrade,Basic,29
114,CUST00075,2024-10-23,cancel,Basic,0
115,CUST00076,2024-03-12,signup,Pro,99
116,CUST00077,2025-06-17,signup,Pro,99
117,CUST00078,2025-06-28,signup,Basic,29
118,CUST00079,2025-01-17,signup,Basic,29
119,CUST00080,2024-03-18,signup,Enterprise,499
120,CUST00081,2024-05-08,signup,Pro,99
121,CUST00081,2025-06-02,cancel,Pro,0
122,CUST00082,2023-10-07,signup,Basic,29
123,CUST00082,2024-02-04,upgrade,Pro,99
124,CUST00082,2025-04-29,upgrade,Enterprise,499
125,CUST00083,2024-03-10,signup,Basic,29
126,CUST00083,2024-10-06,cancel,Basic,0
127,CUST00084,2023-02-26,signup,Basic,29
128,CUST00084,2024-06-20,upgrade,Pro,99
129,CUST00085,2023-09-07,signup,Basic,29
130,CUST00085,2024-01-05,upgrade,Pro,99
131,CUST00086,2024-08-16,signup,Enterprise,499
132,CUST00087,2023-03-17,signup,Basic,29
133,CUST00087,2023-04-16,upgrade,Pro,99
134,CUST00087,2024-07-09,downgrade,Basic,29
135,CUST00088,2024-01-17,signup,Pro,99
136,CUST00089,2024-02-06,signup,Basic,29
137,CUST00090,2023-05-21,signup,Pro,99
138,CUST00090,2023-09-18,upgrade,Enterprise,499
139,CUST00091,2025-05-05,signup,Pro,99
140,CUST00092,2024-05-29,signup,Enterprise,499
141,CUST00093,2024-03-23,signup,Enterprise,499
142,CUST00093,2025-04-17,downgrade,Pro,99
143,CUST00094,2025-05-01,signup,Pro,99
144,CUST00094,2025-06-30,cancel,Pro,0
145,CUST00095,2024-09-15,signup,Basic,29
146,CUST00095,2024-10-15,upgrade,Pro,99
147,CUST00095,2025-02-12,downgrade,Basic,29
148,CUST00096,2024-08-11,signup,Basic,29
149,CUST00097,2023-01-21,signup,Basic,29
150,CUST00097,2023-03-22,cancel,Basic,0
151,CUST00098,2025-03-18,signup,Basic,29
152,CUST00099,2023-02-15,signup,Basic,29
153,CUST00099,2023-07-15,upgrade,Pro,99
154,CUST00099,2023-11-12,upgrade,Enterprise,499
155,CUST00099,2024-01-11,downgrade,Pro,99
156,CUST00100,2024-05-24,signup,Pro,99
157,CUST00101,2023-02-13,signup,Enterprise,499
158,CUST00102,2023-04-27,signup,Basic,29
159,CUST00102,2024-02-21,upgrade,Pro,99
160,CUST00103,2023-08-18,signup,Basic,29
161,CUST00103,2023-09-17,cancel,Basic,0
162,CUST00104,2024-07-18,signup,Pro,99
163,CUST00105,2023-05-13,signup,Pro,99
164,CUST00105,2025-05-02,upgrade,Enterprise,499
165,CUST00106,2023-03-25,signup,Pro,99
166,CUST00106,2023-07-23,cancel,Pro,0
167,CUST00107,2025-06-29,signup,Pro,99
168,CUST00108,2023-09-08,signup,Pro,99
169,CUST00108,2025-03-31,upgrade,Enterprise,499
170,CUST00109,2025-04-13,signup,Pro,99
171,CUST00110,2024-05-24,signup,Enterprise,499
172,CUST00111,2024-01-10,signup,Basic,29
173,CUST00111,2024-03-10,upgrade,Pro,99
174,CUST00112,2023-02-16,signup,Enterprise,499
175,CUST00113,2025-01-08,signup,Basic,29
176,CUST00113,2025-06-07,cancel,Basic,0
177,CUST00114,2024-12-18,signup,Basic,29
178,CUST00115,2025-01-14,signup,Basic,29
179,CUST00116,2024-06-29,signup,Pro,99
180,CUST00117,2024-05-15,signup,Pro,99
181,CUST00118,2023-09-20,signup,Pro,99
182,CUST00118,2024-07-16,upgrade,Enterprise,499
183,CUST00118,2024-12-13,cancel,Enterprise,0
184,CUST00119,2023-06-11,signup,Enterprise,499
185,CUST00119,2024-05-06,downgrade,Pro,99
186,CUST00119,2024-10-03,cancel,Pro,0
187,CUST00120,2025-05-06,signup,Pro,99
188,CUST00121,2023-01-10,signup,Enterprise,499
189,CUST00122,2025-02-10,signup,Basic,29
190,CUST00122,2025-03-12,cancel,Basic,0
191,CUST00123,2024-10-31,signup,Basic,29
192,CUST00124,2023-10-30,signup,Pro,99
193,CUST00124,2025-04-22,downgrade,Basic,29
194,CUST00125,2024-08-09,signup,Pro,99
195,CUST00125,2025-06-05,downgrade,Basic,29
196,CUST00126,2024-04-18,signup,Basic,29
197,CUST00126,2024-08-16,cancel,Basic,0
198,CUST00127,2024-04-28,signup,Pro,99
199,CUST00128,2024-07-04,signup,Pro,99
200,CUST00129,2024-03-05,signup,Enterprise,499
201,CUST00130,2023-11-23,signup,Enterprise,499
202,CUST00131,2024-01-21,signup,Basic,29
203,CUST00131,2024-09-17,upgrade,Pro,99
204,CUST00132,2024-11-20,signup,Basic,29
205,CUST00132,2025-06-18,cancel,Basic,0
206,CUST00133,2023-05-01,signup,Enterprise,499
207,CUST00134,2023-12-04,signup,Pro,99
208,CUST00134,2025-03-28,downgrade,Basic,29
209,CUST00134,2025-04-27,cancel,Basic,0
210,CUST00135,2025-05-17,signup,Basic,29
211,CUST00136,2025-05-12,signup,Basic,29
212,CUST00137,2024-01-18,signup,Enterprise,499
213,CUST00138,2023-09-16,signup,Basic,29
214,CUST00138,2024-07-12,cancel,Basic,0
215,CUST00139,2024-02-20,signup,Basic,29
216,CUST00140,2023-11-19,signup,Basic,29
217,CUST00140,2024-12-13,upgrade,Pro,99
218,CUST00141,2024-09-20,signup,Pro,99
219,CUST00142,2025-03-01,signup,Pro,99
220,CUST00143,2024-02-03,signup,Basic,29
221,CUST00143,2024-09-30,cancel,Basic,0
222,CUST00144,2023-04-02,signup,Basic,29
223,CUST00144,2023-06-01,cancel,Basic,0
224,CUST00145,2024-02-28,signup,Pro,99
225,CUST00145,2024-09-25,cancel,Pro,0
226,CUST00146,2024-03-21,signup,Pro,99
227,CUST00147,2024-08-31,signup,Pro,99
228,CUST00148,2025-03-15,signup,Basic,29
229,CUST00149,2023-01-28,signup,Pro,99
230,CUST00149,2024-09-19,cancel,Pro,0
231,CUST00150,2024-01-04,signup,Pro,99
232,CUST00151,2024-01-19,signup,Pro,99
233,CUST00152,2023-04-28,signup,Basic,29
234,CUST00152,2024-09-19,cancel,Basic,0
235,CUST00153,2023-08-08,signup,Enterprise,499
236,CUST00154,2023-04-30,signup,Pro,99
237,CUST00155,2025-03-25,signup,Basic,29
238,CUST00156,2025-03-02,signup,Basic,29
239,CUST00157,2025-02-13,signup,Pro,99
240,CUST00158,2023-02-03,signup,Pro,99
241,CUST00158,2025-05-23,downgrade,Basic,29
242,CUST00159,2024-11-02,signup,Enterprise,499
243,CUST00160,2023-03-19,signup,Pro,99
244,CUST00160,2025-06-06,upgrade,Enterprise,499
245,CUST00161,2024-04-15,signup,Pro,99
246,CUST00161,2024-05-15,cancel,Pro,0
247,CUST00162,2024-03-14,signup,Basic,29
248,CUST00162,2024-09-10,cancel,Basic,0
249,CUST00163,2023-06-19,signup,Pro,99
250,CUST00163,2024-03-15,cancel,Pro,0
251,CUST00164,2025-05-30,signup,Basic,29
252,CUST00165,2025-04-05,signup,Pro,99
253,CUST00166,2025-06-14,signup,Pro,99
254,CUST00167,2024-07-30,signup,Pro,99
255,CUST00168,2024-03-15,signup,Basic,29
256,CUST00168,2024-09-11,cancel,Basic,0
257,CUST00169,2025-05-17,signup,Basic,29
258,CUST00170,2024-02-06,signup,Pro,99
259,CUST00170,2025-06-30,cancel,Pro,0
260,CUST00171,2023-03-11,signup,Pro,99
261,CUST00171,2024-10-01,cancel,Pro,0
262,CUST00172,2024-12-16,signup,Enterprise,499
263,CUST00173,2025-01-28,signup,Basic,29
264,CUST00174,2023-06-20,signup,Enterprise,499
265,CUST00174,2025-03-11,downgrade,Pro,99
266,CUST00175,2024-01-28,signup,Pro,99
267,CUST00175,2024-10-24,upgrade,Enterprise,499
268,CUST00176,2023-12-02,signup,Basic,29
269,CUST00176,2024-11-26,cancel,Basic,0
270,CUST00177,2024-02-24,signup,Basic,29
271,CUST00177,2024-05-24,cancel,Basic,0
272,CUST00178,2024-11-04,signup,Pro,99
273,CUST00178,2025-03-04,downgrade,Basic,29
274,CUST00179,2024-06-16,signup,Enterprise,499
275,CUST00180,2023-12-01,signup,Basic,29
276,CUST00181,2023-06-01,signup,Basic,29
277,CUST00181,2023-07-01,cancel,Basic,0
278,CUST00182,2023-11-03,signup,Pro,99
279,CUST00182,2024-06-30,downgrade,Basic,29
280,CUST00182,2025-04-26,upgrade,Pro,99
281,CUST00183,2024-10-23,signup,Pro,99
282,CUST00183,2025-01-21,upgrade,Enterprise,499
283,CUST00184,2024-03-12,signup,Basic,29
284,CUST00185,2024-01-27,signup,Basic,29
285,CUST00185,2024-06-25,cancel,Basic,0
286,CUST00186,2024-09-03,signup,Enterprise,499
287,CUST00187,2025-01-24,signup,Enterprise,499
288,CUST00188,2025-04-05,signup,Basic,29
289,CUST00189,2024-07-31,signup,Enterprise,499
290,CUST00190,2023-03-02,signup,Enterprise,499
291,CUST00191,2023-02-03,signup,Pro,99
292,CUST00191,2024-09-25,cancel,Pro,0
293,CUST00192,2024-01-31,signup,Basic,29
294,CUST00192,2024-11-26,upgrade,Pro,99
295,CUST00193,2025-01-19,signup,Enterprise,499
296,CUST00194,2023-06-18,signup,Basic,29
297,CUST00194,2024-03-14,cancel,Basic,0
298,CUST00195,2024-08-08,signup,Basic,29
299,CUST00195,2025-02-04,cancel,Basic,0
300,CUST00196,2023-06-24,signup,Enterprise,499
301,CUST00197,2025-04-18,signup,Enterprise,499
302,CUST00198,2023-11-03,signup,Enterprise,499
303,CUST00199,2025-04-06,signup,Basic,29
304,CUST00200,2025-06-13,signup,Pro,99
305,CUST00201,2023-04-26,signup,Basic,29
306,CUST00201,2024-03-21,cancel,Basic,0
307,CUST00202,2023-10-10,signup,Pro,99
308,CUST00202,2023-11-09,upgrade,Enterprise,499
309,CUST00203,2024-03-02,signup,Basic,29
310,CUST00203,2025-02-25,cancel,Basic,0
311,CUST00204,2023-09-13,signup,Basic,29
312,CUST00204,2024-03-11,cancel,Basic,0
313,CUST00205,2024-01-17,signup,Pro,99
314,CUST00205,2025-06-10,cancel,Pro,0
315,CUST00206,2024-11-29,signup,Enterprise,499
316,CUST00207,2024-01-21,signup,Basic,29
317,CUST00207,2025-02-14,upgrade,Pro,99
318,CUST00208,2024-10-29,signup,Pro,99
319,CUST00209,2023-09-23,signup,Pro,99
320,CUST00210,2023-08-16,signup,Pro,99
321,CUST00210,2024-01-13,upgrade,Enterprise,499
322,CUST00211,2025-06-02,signup,Pro,99
323,CUST00212,2023-07-01,signup,Basic,29
324,CUST00212,2024-06-25,cancel,Basic,0
325,CUST00213,2023-01-15,signup,Pro,99
326,CUST00214,2023-06-23,signup,Pro,99
327,CUST00214,2023-10-21,upgrade,Enterprise,499
328,CUST00215,2025-01-06,signup,Pro,99
329,CUST00216,2024-12-21,signup,Basic,29
330,CUST00216,2025-04-20,cancel,Basic,0
331,CUST00217,2025-05-05,signup,Pro,99
332,CUST00218,2025-01-10,signup,Basic,29
333,CUST00218,2025-03-11,cancel,Basic,0
334,CUST00219,2025-04-12,signup,Basic,29
335,CUST00220,2025-06-30,signup,Enterprise,499
336,CUST00221,2023-12-03,signup,Basic,29
337,CUST00221,2025-01-26,cancel,Basic,0
338,CUST00222,2025-05-14,signup,Basic,29
339,CUST00223,2025-03-08,signup,Basic,29
340,CUST00224,2024-03-27,signup,Basic,29
341,CUST00225,2024-09-19,signup,Basic,29
342,CUST00225,2024-12-18,upgrade,Pro,99
343,CUST00225,2025-04-17,upgrade,Enterprise,499
344,CUST00226,2023-03-22,signup,Pro,99
345,CUST00226,2023-11-17,cancel,Pro,0
346,CUST00227,2024-09-25,signup,Enterprise,499
347,CUST00228,2024-11-03,signup,Basic,29
348,CUST00229,2024-05-19,signup,Pro,99
349,CUST00229,2025-03-15,upgrade,Enterprise,499
350,CUST00230,2024-04-06,signup,Pro,99
351,CUST00230,2024-05-06,cancel,Pro,0
352,CUST00231,2025-01-23,signup,Enterprise,499
353,CUST00232,2025-04-14,signup,Basic,29
354,CUST00233,2024-09-15,signup,Pro,99
355,CUST00234,2023-07-25,signup,Pro,99
356,CUST00234,2025-01-15,cancel,Pro,0
357,CUST00235,2023-04-20,signup,Basic,29
358,CUST00235,2023-10-17,upgrade,Pro,99
